rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1681,34499685,2021,3656,,603,0
1682,34499686,2017,1174.35,,603,1174.35
1683,34499687,2020,0,,603,0
1684,34499688,2016,25.16,,603,25.16
1685,34499689,2018,0,,603,0
1686,34499690,2019,0,,603,0
1687,34499691,2017,0,,611,0
1688,34499692,2020,0,,611,0
1689,34499693,2016,0,,611,0
1690,34499694,2018,0,,611,0
1691,34499695,2021,1371,,611,0
1692,34499696,2020,0,,612,0
1693,34499697,2017,0,,612,0
1694,34499698,2019,0,,612,0
1695,34499699,2021,2285,,612,0
1696,34499700,2018,0,,612,0
1697,34499701,2017,0,,613,0
1698,34499702,2016,0,,613,0
1699,34499703,2020,0,,613,0
1700,34499704,2018,166.6,,613,166.6
1701,34499705,2019,1339.46,,613,1339.46
1702,34499706,2021,9140,,613,0
1703,34499707,2019,0,,644,0
1704,34499708,2018,661.89,,644,661.89
