rownames,project_id,date,type
1055,335,,16
1056,335,,32
1057,335,,64
1058,335,,2048
1059,336,2014-01-01 ,1
1060,336,2015-12-31 ,8
1061,337,2014-02-15 ,1
1062,337,2014-02-01 ,2
1063,337,2014-02-01 ,4
1064,337,2014-05-31 ,8
1065,337,2014-03-01 ,16
1066,337,2014-04-01 ,32
1067,337,2014-02-01 ,64
1068,337,2014-04-01 ,256
1069,337,2014-05-01 ,512
1070,337,,2048
1071,338,2014-01-15 ,1
1072,338,,2
1073,338,2014-08-30 ,8
1074,338,,16
1075,338,,32
1076,338,,64
1077,338,,2048
1078,339,2014-03-01 ,1
1079,339,,2
1080,339,2014-08-01 ,8
1081,339,,16
1082,339,,32
1083,339,,64
1084,339,,2048
1085,340,2014-03-06 ,1
1086,340,,2
1087,340,2014-11-04 ,8
1088,340,,16
1089,340,,32
1090,340,,64
1091,340,,2048
