rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
94,1,17,@A_17_2172013,217,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,552.22,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
95,1,17,@T_17_97232013,97,23,1,1,,2013,-0,-0,-0,-0,-0,-0,-4,-2,-1,-0,-0,-0,,,0,EUR,0,0,5810,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,7
96,1,17,@T_17_97232014,97,23,1,1,,2014,-0,-0,-5,-1,-2.5,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,7055,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,8.5
97,1,17,@T_17_9732013,97,3,1,1,,2013,-0,-0,-0,-0,-0,-0,-2,-0,-0,-0,-0,-0,,,0,EUR,0,0,1660,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,2
98,1,17,@T_17_97332013,97,33,1,1,,2013,-0,-0,-0,-0,-1,-2,-3,-2,-0,-0,-0,-0,,,0,EUR,0,0,6640,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,8
99,1,17,@T_17_97332014,97,33,1,1,,2014,-0,-0,-0,-2,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,1660,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,2
100,1,18,@A_18_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,-872.22,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
101,1,18,@A_18_2142013,214,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,64.3,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
102,1,18,@A_18_2172013,217,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,4106.3,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
103,1,18,@T_18_97102013,97,10,1,1,,2013,-0,-0,-0,-2,-27,-11,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,33200,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,40
104,1,18,@T_18_97182013,97,18,1,1,,2013,-0,-0,-0,-0,-0.5,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,415,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,0.5
