rownames,axe1_analytical_section_permission_id,user_id,entity_id
607,2079,11,49
608,2082,43,962
609,2091,43,971
610,2092,116,972
611,2095,11,780
612,2098,2,976
613,2101,47,24
614,2102,4,24
615,2103,30,645
616,2104,47,645
617,2105,30,978
618,2113,152,973
619,2115,26,984
620,2125,25,895
621,2126,149,457
622,2127,43,878
623,2130,149,131
624,2138,55,976
625,2139,55,962
626,2144,21,912
627,2145,43,805
628,2146,112,884
629,2147,3,990
630,2149,47,992
631,2156,152,964
632,2158,43,995
633,2159,53,996
634,2160,55,943
635,2163,80,998
636,2168,116,1000
637,2170,56,1000
638,2173,3,1002
639,2174,112,1003
640,2176,2,915
641,2177,3,1004
642,2183,152,975
643,2185,152,1001
644,2186,80,457
645,2187,80,593
646,2188,80,730
647,2189,80,844
648,2190,80,845
649,2191,80,846
650,2192,80,943
651,2194,80,948
652,2195,80,962
653,2196,80,976
654,2278,153,991
655,2282,3,1019
656,2285,13,1020
657,2288,26,1021
658,2292,56,1015
659,2293,28,891
660,2297,169,1022
661,2300,138,1025
662,2305,167,739
663,2308,26,1029
664,2312,169,1030
665,2319,151,1010
666,2320,55,1021
667,2323,80,1021
668,2326,11,1035
669,2329,43,1014
670,2330,43,1015
671,2334,155,1037
672,2348,3,1042
673,2349,114,1042
674,2350,169,1043
675,2351,48,1044
676,2354,84,660
677,2355,84,1047
678,2356,30,1048
679,2362,168,1054
680,2365,169,1057
681,2372,21,1062
682,2376,60,
683,2377,62,1066
684,2378,170,1067
685,2381,116,1070
686,2385,172,535
687,2387,172,1041
688,2388,28,1074
689,2391,3,1075
690,2402,11,1079
691,2409,166,1086
692,2416,11,1093
693,2417,11,1094
694,2421,155,1096
695,2423,11,1097
696,2446,30,1099
697,2451,43,1104
698,2452,43,1105
699,2453,43,1106
700,2459,28,1112
701,2462,80,1115
702,2477,112,1117
703,2478,26,1118
704,2479,26,1119
705,2480,26,1120
706,2482,55,1103
707,2501,26,1121
708,2502,26,1122
709,2503,26,1123
710,2528,108,
711,2532,59,1127
712,2534,28,1129
713,2537,153,1091
714,2539,28,1056
715,2549,148,1139
716,2550,23,1140
717,2551,55,1122
718,2562,49,1142
719,2564,2,1144
720,2567,89,1147
721,2568,164,1093
722,2586,18,1149
723,2589,153,1148
724,2590,43,1143
725,2594,177,1070
726,2598,43,1150
727,2601,178,50
728,2602,178,84
729,2603,178,131
730,2604,178,521
731,2605,178,702
732,2606,178,726
733,2607,178,769
734,2608,178,780
735,2609,178,786
736,2610,178,796
737,2611,178,797
738,2612,178,801
739,2613,178,856
740,2614,178,877
741,2615,178,964
742,2616,178,973
743,2617,178,975
744,2618,178,1000
745,2619,178,1001
746,2620,152,1143
747,2621,152,1150
748,2627,152,1130
749,2628,152,1096
750,2629,152,1051
751,2630,178,1130
752,2633,53,1154
753,2634,53,1155
754,2635,53,1156
755,2637,45,1157
756,2683,2,1130
757,2684,43,1158
758,2686,43,1159
759,2688,43,1160
760,2692,49,1162
761,2701,170,1164
762,2705,163,1166
763,2706,43,694
764,2708,43,964
765,2709,43,1095
766,2713,179,1072
767,2714,180,1051
768,2715,89,1167
769,2720,172,1072
770,2774,52,1145
771,2781,151,1064
772,2786,33,1110
773,2790,181,46
774,2791,97,
775,2792,104,
776,2793,175,1021
777,2794,175,1028
778,2795,175,1029
779,2796,175,1118
780,2797,175,1119
781,2798,175,1120
782,2799,175,1121
783,2800,175,1122
784,2801,175,1123
785,2802,175,1053
786,2805,170,942
787,2812,152,1097
788,2817,152,1093
789,2821,154,1133
790,2822,154,1134
791,2823,154,1136
792,2824,154,1137
793,2825,154,1151
794,2826,152,572
795,2827,178,572
796,2828,178,1093
797,2829,178,1097
798,2830,56,1051
799,2831,56,1150
800,2832,152,1162
801,2833,178,1162
802,2849,183,943
803,2850,183,1149
804,2851,56,1096
805,2883,43,1178
806,2888,140,50
807,2889,140,52
808,2891,140,572
809,2892,140,1097
810,2897,140,1178
811,2903,140,875
812,2905,140,51
813,2906,140,56
814,2907,140,633
815,2908,140,726
816,2909,140,730
817,2910,140,736
818,2911,140,976
819,2912,140,1014
820,2913,140,1051
821,2914,140,1093
822,2915,140,1094
823,2916,140,1101
824,2918,140,1142
825,2919,140,1143
826,2920,140,1144
827,2921,140,1149
828,2924,140,1130
829,2927,184,1179
830,2929,57,212
831,2930,57,755
832,2991,166,1181
833,2993,84,1182
834,2995,20,1183
835,2999,48,1185
836,3097,9,1189
837,3113,105,1190
838,3123,152,1178
839,3125,140,943
840,3126,140,947
841,3127,140,962
842,3128,140,964
843,3129,140,1103
844,3131,20,1191
845,3135,142,1192
846,3137,170,1193
847,3141,3,1195
848,3143,28,1196
849,3246,112,1199
850,3250,177,1201
851,3260,140,535
852,3261,140,593
853,3263,140,844
854,3264,140,845
855,3265,140,846
856,3266,140,878
857,3267,140,1104
858,3268,140,1105
859,3270,152,1161
860,3271,178,1161
861,3272,178,1178
862,3273,140,1161
863,3301,140,1150
864,3305,140,1096
865,3307,56,1161
866,3312,140,1163
867,3313,140,1162
868,3314,56,1104
869,3316,105,1204
